Name,ETH address,contribution,links,reward
hojojon,0x1ee62fdb7d843e696890d4776cbac69062dce8b3,Japanese Community,Twitter: https://twitter.com/themovement_jp / ANN: https://bitcointalk.org/index.php?topic=2782378,5000 MVT
DarkTrollCoin,0x59827b08a0ed17ea7201c5d70455d6f4aff2e4f8,French Community,Twitter: https://twitter.com/movement_fr / ANN: https://bitcointalk.org/index.php?topic=2104810,5000 MVT
